artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type,birth_place,birth_date,death_place,death_date,gender,citizenship,occupation,work_locations
Bill Viola,,,,,,,,,1975.0,2011.0,,,,,Yes,Painting/Sculpture,Flushing,1951,,,male,United States of America,"['video artist', 'installation artist', 'multimedia artist', 'visual artist', 'film director', 'musician', 'television producer', 'artist', 'cinematographer', 'composer', 'screenwriter', 'karateka']","[{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Long Beach', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Syracuse', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Atsugi', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Huang Gongwang,,,,,,,,,1351.0,1351.0,,,,,No,Painting/Sculpture,Changzhou,1269,,1354,male,Yuan dynasty,"['painter', 'poet']",[]
Wang Jianwei,,,,,,,,,2006.0,2009.0,,,,,Yes,Painting/Sculpture,Xinhuang Dong Autonomous County,1954,,,male,People's Republic of China,"['theatrical director', 'creator', 'painter', 'author', 'researcher']",[]
Arnold Genthe,,,,,,,,,1896.0,1926.0,"New Orleans, San Francisco, United States of America, Louisiana, California, United States",,,"{United States of America:1},{New Orleans:2},{Louisiana:2},{United States:5},{San Francisco:3},{California:3}",No,Painting/Sculpture,Berlin,1869,New York City,1942,male,German Empire,"['designer', 'journalist', 'photographer']",[]
Martin van Meytens,,,,,,,,,1728.0,1851.0,,,,,No,Painting/Sculpture,Stockholm,1695,Vienna,1770,male,Austria,painter,[]
Robert Mapplethorpe,,,,,,,,,1980.0,1984.0,,,,,,Painting/Sculpture,Floral Park,1946,Boston,1989,male,United States of America,"['collagist', 'photo artist', 'film director', 'sculptor', 'photographer']","{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}"
George Chinnery,,,,,,,,,1852.0,1852.0,"London, Macau",,,"{London:5},{Macau:5}",No,Painting/Sculpture,Gough Square,1774,Macau,1852,male,United Kingdom of Great Britain and Ireland,painter,[]
Fausto Zonaro,,,"{Realism:3},{Modern art:1}",,,,,,1892.0,1892.0,,,,,No,Painting/Sculpture,Masi,1854,Sanremo,1929,male,Kingdom of Italy,painter,[]
Eugène Carrière,,,"{Post-Impressionism:1},{Symbolism:2},{Modern art:3}",,,,,,1890.0,1895.0,France,,,{France:1},No,Painting/Sculpture,Gournay-sur-Marne,1849,Paris,1906,male,France,"['lithographer', 'drawer', 'graphic artist', 'painter']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Ivan Kramskoi,,,,,,,,,1884.0,1884.0,,,,,No,Painting/Sculpture,Ostrogozhsk,1837,Saint Petersburg,1887,male,Russian Empire,"['drawer', 'art critic', 'painter']","{'location': 'Saint Petersburg', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Jacopo Bassano,Italian,,"{Italian Renaissance:2},{Venetian school:3},{Renaissance:2},{Mannerism:1},{Mannerism (Late Renaissance):40}","Titian,Albrecht Durer,Parmigianino,Tintoretto,Raphael,",,,,,1539.0,1592.0,"London, US, Italy, UK, NY, Scotland, Edinburgh, New York City",Mannerism (Late Renaissance):1539-1592,"{Italian Mannerism:1}, {Mannerism (Late Renaissance):40}","{Scotland:1},{Italy:2},{New York City:1},{NY:1},{US:1},{London:1},{UK:2},{Edinburgh:1}",No,Painting/Sculpture,Bassano del Grappa,1510,Bassano del Grappa,1592,male,Republic of Venice,painter,"{'location': 'Bassano del Grappa', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Fernand Léger,,,,,,,,,1913.0,1955.0,,,,,No,Painting/Sculpture,Argentan,1881,Gif-sur-Yvette,1955,male,France,"['drawer', 'architectural draftsperson', 'printmaker', 'ceramicist', 'designer', 'scenographer', 'film director', 'graphic artist', 'filmmaker', 'costume designer', 'sculptor', 'painter', 'illustrator', 'teacher']","[{'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Vienna', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Switzerland', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Caen', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Gif-sur-Yvette', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Munich', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Étienne-Jules Marey,,,,,,,,,1880.0,1900.0,,,,,No,Painting/Sculpture,Beaune,1830,Paris,1904,male,France,"['film director', 'physiologist', 'inventor', 'physician', 'photographer', 'scientist']",[]
James Robertson,,,,,,,,,1857.0,1857.0,"Israel, Great Britain, Jerusalem, Palestine",,,"{Jerusalem:3},{Israel:2},{Palestine:1},{Great Britain:1}",No,Painting/Sculpture,Middlesex,1813,Yokohama,1888,male,United Kingdom of Great Britain and Ireland,"['war photographer', 'journalist', 'engraver', 'photographer']",[]
Sano di Pietro,,,,,,,,,1397.0,1470.0,Italy,,,{Italy:1},No,Painting/Sculpture,Siena,1405,Siena,1481,male,Republic of Siena,"['painter', 'illuminator']","{'location': 'Siena', 'start_time': '1428-01-01T00:00:00Z', 'end_time': '1481-01-01T00:00:00Z', 'point_in_time': None}"
Tony Cragg,,,{Contemporary art:1},,,,,,1982.0,1990.0,,,,,,Painting/Sculpture,Liverpool,1949,,,male,United Kingdom,"['conceptual artist', 'printmaker', 'university teacher', 'sculptor', 'artist']","{'location': 'Wuppertal', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Thomas Stothard,,,,,,,,,,,London,,,{London:8},,Painting/Sculpture,London,1755,London,1834,male,United Kingdom of Great Britain and Ireland,"['engraver', 'painter', 'illustrator']","{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': '1815-01-01T00:00:00Z'}"
George W. Bush,,,,,,,,,1843.0,1850.0,,,,,No,Painting/Sculpture,New Haven,1946,Washington Territory,1863,male,United States of America,"['autobiographer', 'motivational speaker', 'rugby union player', 'financier', 'painter', 'statesperson', 'military officer', 'politician', 'businessperson', 'trapper', 'pioneer', 'rancher', 'employee', 'farmer', 'director', 'consignor', 'merchant']","[{'location': 'Austin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Washington, D.C.', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Joaquín Torres-García,,,,,,,,,1943.0,1943.0,,,,,No,Painting/Sculpture,Montevideo,1874,Montevideo,1949,male,Uruguay,"['collagist', 'art theorist', 'muralist', 'sculptor', 'painter', 'illustrator', 'professor', 'writer']","[{'location': 'Barcelona', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Montevideo', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Madrid', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Francis Bedford,,,,,,,,,1855.0,1862.0,"London, Luxor, England, Canterbury, Egypt, Thebes",,,"{London:23},{England:23},{Luxor:1},{Thebes:1},{Egypt:1},{Canterbury:1}",No,Painting/Sculpture,London,1815,London,1894,male,United Kingdom of Great Britain and Ireland,"['lithographer', 'architect', 'photographer']","{'location': 'London', 'start_time': '1851-01-01T00:00:00Z', 'end_time': None, 'point_in_time': None}"
Stradanus,,,,,,,,,1580.0,1605.0,"Antwerp, Netherlands, Italy",,,"{Antwerp:15},{Italy:1},{Netherlands:1}",No,Painting/Sculpture,Bruges,1523,Florence,1605,male,Southern Netherlands,"['drawer', 'printmaker', 'painter']","[{'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': '1545-01-01T00:00:00Z'}, {'location': 'Florence', 'start_time': '1550-01-01T00:00:00Z', 'end_time': '1605-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': '1550-01-01T00:00:00Z', 'end_time': '1553-01-01T00:00:00Z', 'point_in_time': None}]"
Cornelis van Haarlem,,,,,,,,,1590.0,1590.0,Amsterdam,,,{Amsterdam:1},No,Painting/Sculpture,Haarlem,1562,Haarlem,1638,male,Habsburg Netherlands,"['painter', 'architect']","{'location': 'Antwerp', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Kaii Higashiyama,,,,,,,,,,,Japan,,,{Japan:4},,Painting/Sculpture,Yokohama,1908,Tokyo,1999,male,Japan,painter,"{'location': 'Ichikawa', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Su Shi,,,,,,,,,,,China,,,{China:1},,Painting/Sculpture,Meishan,1037,Changzhou,1101,male,Northern Song dynasty,"['scholar', 'essayist', 'calligrapher', 'painter', 'musician', 'historian', 'pharmacist', 'politician', 'poet', 'writer']",[]
N. C. Wyeth,,,,,,,,,1908.0,1908.0,,,,,No,Painting/Sculpture,Needham,1882,Delaware County,1945,male,United States of America,"['painter', 'illustrator']",[]
Francesco Zuccarelli,,,,,,,,,1735.0,1788.0,,,,,No,Painting/Sculpture,Pitigliano,1702,Florence,1788,male,Grand Duchy of Tuscany,"['painter', 'engraver']",[]
Alexander Roslin,,,,,,,,,1774.0,1774.0,"Paris, St. Petersburg, Russia, France",,,"{Paris:1},{France:1},{St. Petersburg:1},{Russia:1}",No,Painting/Sculpture,Malmö Sankt Petri församling,1718,Paris,1793,male,Sweden,"['portraitist', 'painter']",[]
Yoshitomo Nara,,,,,,,,,2007.0,2008.0,,,,,Yes,Painting/Sculpture,Hirosaki,1959,,,male,Japan,"['installation artist', 'architectural draftsperson', 'printmaker', 'sculptor', 'painter', 'illustrator', 'musician', 'artist', 'photographer']","[{'location': 'Düsseldorf', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Tokyo', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Polidoro da Caravaggio,,,,,,,,,1527.0,1527.0,,,,,No,Painting/Sculpture,Caravaggio,1499,Messina,1543,male,Italy,painter,"{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Song Dong,,,,,,,,,2001.0,2014.0,,,,,Yes,Painting/Sculpture,Beijing,1966,,,male,People's Republic of China,"['conceptual artist', 'video artist', 'installation artist', 'performance artist', 'sculptor', 'artist', 'photographer']","{'location': 'Beijing', 'start_time': None, 'end_time': None, 'point_in_time': None}"
John Wootton,,,,,,,,,,,"London, England",,,"{London:10},{England:2}",,Painting/Sculpture,Snitterfield,1682,London,1764,male,Kingdom of Great Britain,"['painter', 'illustrator']","[{'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': '1761-01-01T00:00:00Z'}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Giovanni Baglione,,,"{Baroque:1},{Mannerism:1}",,,,,,1630.0,1638.0,,,{Italian:1},,No,Painting/Sculpture,Rome,1566,Rome,1644,male,,"['drawer', 'architectural draftsperson', 'art historian', 'painter', 'historian', 'writer']","[{'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Loreto', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Naples', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Mantua', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Benvenuto Tisi,Italian,Ferrara School,"{School of Ferrara:1},{Italian Renaissance:1},{Renaissance:1},{Mannerism (Late Renaissance):22}",,,,,,1502.0,1550.0,"London, AL, UK, US",Mannerism (Late Renaissance):1502-1550,{Mannerism (Late Renaissance):22},"{AL:1},{US:1},{London:1},{UK:1}",No,Painting/Sculpture,Ferrara,1481,Ferrara,1559,male,Duchy of Ferrara,painter,"[{'location': 'Rome', 'start_time': '1499-01-01T00:00:00Z', 'end_time': '1500-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1524-01-01T00:00:00Z'}, {'location': 'Ferrara', 'start_time': '1512-01-01T00:00:00Z', 'end_time': '1550-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Venice', 'start_time': None, 'end_time': None, 'point_in_time': '1518-01-01T00:00:00Z'}, {'location': 'Ferrara', 'start_time': '1504-01-01T00:00:00Z', 'end_time': '1517-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1518-01-01T00:00:00Z'}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': '1509-01-01T00:00:00Z'}, {'location': 'Bologna', 'start_time': None, 'end_time': None, 'point_in_time': '1501-01-01T00:00:00Z'}]"
Sooni Taraporevala,,,,,,,,,1977.0,2013.0,,,,,Yes,Painting/Sculpture,Mumbai,1957,,,female,India,"['film director', 'photojournalist', 'photographer', 'screenwriter']",[]
Zaha Hadid,,,,,,,,,1996.0,2014.0,"London, England",,,"{London:1},{England:1}",Yes,Painting/Sculpture,Baghdad,1950,Miami,2016,female,Iraq,"['designer', 'jewelry designer', 'university teacher', 'sculptor', 'painter', 'artist', 'architect']","[{'location': 'Cincinnati', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'London', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New Haven', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'East Lansing', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Weil am Rhein', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Boston', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Berlin', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Chicago', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Baku', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Hong Kong', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Innsbruck', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Copenhagen', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Moscow', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Zaragoza', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Milan', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
José Ferraz de Almeida Júnior,,,,,,,,,1874.0,1899.0,,,,,No,Painting/Sculpture,Itu,1850,Piracicaba,1899,male,Brazil,painter,[]
Samuel Bourne,,,,,,,,,1863.0,1870.0,India,,,{India:2},No,Painting/Sculpture,Mucklestone,1834,Nottingham,1912,male,United Kingdom of Great Britain and Ireland,photographer,[]
Ryūsei Kishida,,,,,,,,,1914.0,1926.0,,,,,No,Painting/Sculpture,Ginza,1891,Tokuyama,1929,male,Japan,painter,[]
Helmut Newton,,,,,,,,,,,Melbourne,,,{Melbourne:1},,Painting/Sculpture,Berlin,1920,Los Angeles,2004,male,Australia,"['fashion photographer', 'photojournalist', 'photographer']",[]
Mihály Munkácsy,,,,,,,,,1865.0,1865.0,,,,,No,Painting/Sculpture,Mukachevo,1844,Endenich,1900,male,Hungary,painter,[]
Gerard de Lairesse,,,"{Dutch Golden Age:1},{Baroque:1}",,,,,,,,"Northern Netherlands, Amsterdam",,{Northern Netherlands School:1},"{Amsterdam:101},{Northern Netherlands:8}",,Painting/Sculpture,Liège,1641,Amsterdam,1711,male,Dutch Republic,"['decorator', 'art theorist', 'opinion journalist', 'graphic artist', 'art historian', 'painter', 'engraver']",[]
Jin Nong,,,,,,,,,1687.0,1687.0,,,,,No,Painting/Sculpture,Hangzhou,1687,Yangzhou,1764,male,Qing Dynasty,"['calligrapher', 'painter', 'writer']","{'location': 'Yangzhou', 'start_time': None, 'end_time': None, 'point_in_time': None}"
Martha Cooper,,,,,,,,,1977.0,2015.0,"New York, Honolulu, Москва, USA, New York City",,,"{New York City:2},{New York:2},{USA:2},{Honolulu:1},{Москва:1}",Yes,Painting/Sculpture,Baltimore,1943,,1610,female,United States of America,"['journalist', 'photojournalist', 'writer', 'photographer', 'researcher', 'beauty pageant contestant']",[]
Cornelius van Poelenburgh,,,,,,,,,1623.0,1667.0,,,,,No,Painting/Sculpture,Utrecht,1594,Utrecht,1667,male,Netherlands,painter,"[{'location': 'Florence', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Utrecht', 'start_time': '1625-01-01T00:00:00Z', 'end_time': '1667-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'London', 'start_time': '1637-01-01T00:00:00Z', 'end_time': '1641-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': '1631-01-01T00:00:00Z'}, {'location': 'Rome', 'start_time': '1617-01-01T00:00:00Z', 'end_time': '1625-01-01T00:00:00Z', 'point_in_time': None}]"
Chuck Close,American,,"{Photorealism (Super-Realism, Hyper-Realism):11}",,,,,,1968.0,2007.0,,Photorealism:1968-2007,{Photorealism:11},,Yes,Painting/Sculpture,Monroe,1940,Oceanside,2021,male,United States of America,"['collagist', 'drawer', 'architectural draftsperson', 'printmaker', 'graphic artist', 'painter', 'photographer']","[{'location': 'Norfolk', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Vienna', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New Haven', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Seattle', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'New York City', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Amherst', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Joris Hoefnagel,,,"{Dutch and Flemish Renaissance painting:5},{Northern Renaissance:24},{Renaissance:24}",,,,,,1561.0,1596.0,"Vienna, Antwerp, Austria",,,"{Vienna:217},{Antwerp:2},{Austria:216}",No,Painting/Sculpture,Antwerp,1542,Vienna,1601,male,Southern Netherlands,"['scientific illustrator', 'drawer', 'cartographer', 'painter', 'illuminator', 'engraver']",[]
Thomas Daniell,,,,,,,,,1797.0,1802.0,"India, Kensington",,,"{Kensington:2},{India:5}",No,Painting/Sculpture,Kingston upon Thames,1749,London,1840,male,United Kingdom of Great Britain and Ireland,"['printmaker', 'painter']",[]
Severin Roesen,,,{Naturalism:1},,,,,,1850.0,1860.0,"New York, United States",,,"{New York:2},{United States:1}",No,Painting/Sculpture,Boppard,1815,Philadelphia,1872,male,Kingdom of Prussia,"['porcelain painter', 'painter']",[]
Paul-Jacques-Aimé Baudry,,,,,,,,,1862.0,1876.0,,,,,No,Painting/Sculpture,La Roche-sur-Yon,1828,Paris,1886,male,France,painter,"[{'location': 'Paris', 'start_time': None, 'end_time': None, 'point_in_time': None}, {'location': 'Rome', 'start_time': None, 'end_time': None, 'point_in_time': None}]"
Thierry Mugler,,,,,,,,,,,France,,,{France:1},,Painting/Sculpture,Strasbourg,1945,Vincennes,2022,male,France,fashion designer,[]
Carlo Dolci,,,,,,,,,1665.0,1665.0,Italy,,,{Italy:1},No,Painting/Sculpture,Florence,1616,Florence,1686,male,Grand Duchy of Tuscany,painter,"[{'location': 'Florence', 'start_time': '1636-01-01T00:00:00Z', 'end_time': '1686-01-01T00:00:00Z', 'point_in_time': None}, {'location': 'Innsbruck', 'start_time': None, 'end_time': None, 'point_in_time': '1672-01-01T00:00:00Z'}]"
