artist,Nationality,PaintingSchool,ArtMovement,Influencedby,Influencedon,Pupils,Teachers,FriendsandCoworkers,FirstYear,LastYear,PaintingsExhibitedAt,StylesYears,StylesCount,PaintingsExhibitedAtCount,Contemporary,Type
John Sell Cotman,,,"{Norwich School:2},{Romanticism:4}",,,,,,1807.0,1807.0,"London, England",,,"{London:78},{England:1}",No,Painting/Sculpture
Gerhard Richter,German,,{New European Painting:54},"Caspar David Friedrich,Jackson Pollock,Lucio Fontana,Robert Rauschenberg,Andy Warhol,","Ellsworth Kelly,Conceptual Art,Wolfgang Tillmans,",,"Karl Otto Gotz,","Blinky Palermo,Sigmar Polke,Joseph Beuys,Georg Baselitz,",1963.0,2001.0,"London, Sydney, Netherlands, US, Germany, Chicago, IL, UK, Krefeld, NY, Düsseldorf, Tilburg, Australia, New York City","Abstract Expressionism:1968-1994,New European Painting:1964-2000,Conceptual Art:1973-1973,Pop Art:1963-1963","{Abstract Expressionism:27}, {New European Painting:22}, {Conceptual Art:2}, {Pop Art:1}","{Tilburg:1},{Netherlands:1},{London:1},{UK:1},{Sydney:1},{Australia:1},{New York City:2},{NY:2},{US:3},{Krefeld:1},{Germany:2},{Düsseldorf:1},{Chicago:1},{IL:1}",Yes,Painting/Sculpture
Joseph Wright of Derby,,,"{Neoclassicism:1},{Romanticism:1}",,,,,,1779.0,1786.0,"Italy, England",,,"{Italy:15},{England:1}",No,Painting/Sculpture
Amrita Sher-Gil,,,,,,,,,,,,,,,,Painting/Sculpture
Fra Angelico,Italian,Florentine School,{Early Renaissance:167},"Sienese School,",,"Benozzo Gozzoli,",,,1410.0,1455.0,"London, Museo del Prado, UK, Spain, Switzerland, Perugia, Altenburg, Cortona, US, Germany, Pisa, Vatican, Cambridge, Chantilly, NJ, Italy, MA, Paris, Orvieto, Detroit, MI, Philadelphia, Florence, Boston, Berlin, Ireland, Dublin, Russia, Saint Petersburg, Venice, San Giovanni Valdarno, Frankfurt, San Domenico, Munich, France, NY, Madrid, Fort Worth, Fiesole, Bern, San Marco, PA, Main, New York City",Early Renaissance:1410-1455,"{Italian:1}, {Early Renaissance/ Altarpiece:1}, {Early Renaissance:167}","{San Marco:53},{Florence:56},{Italy:79},{San Domenico:5},{Fiesole:5},{NJ:2},{US:9},{New York City:1},{NY:1},{Altenburg:4},{Germany:10},{Munich:4},{Dublin:1},{Ireland:1},{Vatican:15},{Perugia:8},{Switzerland:2},{Berlin:1},{Orvieto:6},{Paris:8},{France:10},{Saint Petersburg:2},{Russia:2},{Madrid:2},{Spain:2},{Cambridge:1},{MA:2},{Venice:1},{Philadelphia:1},{PA:1},{Fort Worth:1},{San Giovanni Valdarno:1},{Cortona:1},{Detroit:2},{MI:2},{Frankfurt:1},{Main:1},{Boston:1},{London:3},{UK:3},{Museo del Prado:1},{Chantilly:2},{Bern:1},{Pisa:1}",No,Painting/Sculpture
George Inness,American,"American Barbizon school,Hudson River School","{Tonalism:18},{American Impressionism:2},{Hudson River School:1},{Realism:1},{Modern art:3},{Impressionism:2}",,,,,,1852.0,1894.0,"US, New Jersey, Washington DC, Winston-Salem, NC, United States",Tonalism:1853-1894,"{Impressionism:1}, {Tonalism:16}","{New Jersey:1},{United States:1},{Winston-Salem:1},{NC:1},{US:2},{Washington DC:1}",No,Painting/Sculpture
Utagawa Toyokuni,Japanese,Utagawa school,{Edo period (1603–1867):30},,,,,,1769.0,1825.0,"Japan, US, Chicago, IL",,{Ukiyo-e:30},"{Japan:4},{Chicago:1},{IL:1},{US:1}",No,Painting/Sculpture
William-Adolphe Bouguereau,,,"{Symbolism:1},{Academic art:1}",,,,,,1862.0,1903.0,France,,,{France:4},No,Painting/Sculpture
Yokoyama Taikan,,,,,,,,,1900.0,1944.0,"Japan, Tokyo",,,"{Japan:21},{Tokyo:1}",No,Painting/Sculpture
Ford Madox Brown,British,Pre-Raphaelite Brotherhood,"{Realism:1},{Romanticism:48}","William Holman Hunt,John Everett Millais,Hans Holbein the Younger,","Dante Gabriel Rossetti,","Dante Gabriel Rossetti,",,"William Morris,Edward Burne-Jones,",1837.0,1893.0,"London, Sydney, Manchester, Melbourne, England, UK, Cambridge, Bradford, Birmingham, Oxford, Australia",Romanticism:1837-1893,{Romanticism:48},"{London:6},{England:1},{UK:15},{Bradford:2},{Melbourne:2},{Australia:3},{Manchester:1},{Cambridge:1},{Birmingham:5},{Oxford:2},{Sydney:1}",No,Painting/Sculpture
Mi Fu,,,,,,,,,,,China,,,{China:1},,Painting/Sculpture
Martin Johnson Heade,American,Hudson River School,"{Luminism:2},{Hudson River School:2},{Realism:40}",,,,,,1840.0,1904.0,"US, Washington DC, New Haven, Spain, Madrid","Luminism:1855-1904,Romanticism:1840-1902,Realism:1863-1895","{Luminism:23}, {Romanticism:15}, {Realism:5}","{Madrid:4},{Spain:4},{Washington DC:3},{US:4},{New Haven:1}",No,Painting/Sculpture
Tawaraya Sōtatsu,,,,,,,,,,,"Japan, Kyoto",,,"{Kyoto:2},{Japan:3}",,Painting/Sculpture
Qian Xuan,Chinese,,{Yuan Dynasty (1271–1368):28},,,,,,1300.0,1300.0,China,Ink and wash painting:1300-1300,{Ink and wash painting:6},{China:1},No,Painting/Sculpture
Thomas Girtin,British,,{Romanticism:41},,,,,,1791.0,1802.0,"London, Paris, UK",Romanticism:1797-1802,{Romanticism:41},"{London:25},{Paris:1},{UK:1}",No,Painting/Sculpture
Itō Jakuchū,,,,,,,,,1789.0,1791.0,Japan,,,{Japan:2},No,Painting/Sculpture
Bernardo Strozzi,Italian,"Caravaggisti,Genoese school",{Baroque:59},,,,,,1600.0,1644.0,"London, Ligustica, Lviv, Moscow, Museo del Prado, UK, Spain, Belle Arti, MO, Rome, US, Germany, St. Louis, Baltimore, Budapest, Milan, Kaluga, Australia, El Paso, Italy, Genoa, Austria, Ukraine, Paris, Philadelphia, Hungary, Florence, Vienna, Sydney, Berlin, Russia, Venice, Saint Petersburg, France, Madrid, MD, Poland, PA","Baroque:1615-1644,Tenebrism:1600-1640","{Italian:1}, {Baroque:42}, {Tenebrism:16}","{Venice:1},{Italy:6},{Lviv:1},{Ukraine:1},{Austria:4},{Berlin:1},{Germany:1},{Genoa:2},{Kaluga:1},{Russia:6},{Poland:1},{Budapest:2},{Hungary:2},{Saint Petersburg:4},{El Paso:1},{US:4},{Philadelphia:1},{PA:1},{London:1},{UK:1},{Sydney:1},{Australia:1},{Vienna:2},{France:2},{Museo del Prado:1},{Madrid:1},{Spain:1},{Milan:1},{Paris:1},{St. Louis:1},{MO:1},{Moscow:1},{Florence:1},{Ligustica:1},{Belle Arti:1},{Rome:1},{Baltimore:1},{MD:1}",No,Painting/Sculpture
Charles Le Brun,,,,,,,,,1642.0,1684.0,France,,"{French painting:4}, {17th century:4}",{France:2},No,Painting/Sculpture
Ogata Kenzan,,,,,,,,,,,Japan,,"{Raku ware:3}, {unknown workshop:3}",{Japan:1},,Painting/Sculpture
Thomas Lawrence,British,,"{Rococo,Romanticism:203}",,,,,,1780.0,1831.0,"London, UK","Romanticism:1789-1831,Rococo:1787-1823","{Romanticism:165}, {Rococo:38}","{London:3},{UK:1}",No,Painting/Sculpture
Arthur Streeton,Australian,Heidelberg School,{Impressionism:26},,,,,,1888.0,1926.0,"Sydney, Australia",Impressionism:1888-1926,{Impressionism:26},"{Sydney:1},{Australia:1}",No,Painting/Sculpture
Anna Ancher,Danish,Skagen Painters,"{Impressionism,Realism,Symbolism:18}",,,,"Pierre Puvis de Chavannes,",,1882.0,1918.0,"Tromso, Denmark, Norway","Impressionism:1883-1914,Realism:1900-1913,Symbolism:1902-1902","{Impressionism:17}, {Realism:8}, {Symbolism:1}","{Denmark:8},{Tromso:1},{Norway:1}",No,Painting/Sculpture
Salvador Dali,Spanish,,{Surrealism:1160},"Giorgio de Chirico,Arnold Böcklin,Pablo Picasso,Joan Miro,Yves Tanguy,Max Ernst,Jean-Francois Millet,Dada,High Renaissance,","Max Ernst,Jackson Pollock,Mark Rothko,Surrealism,Abstract Expressionism,Pop Art,Performance Art,Conceptual Art,",,,"Man Ray,Andy Warhol,",1910.0,1983.0,"London, Art, Moscow, CA, Rotterdam, Hanover, UK, Spain, Canada, Switzerland, Yokohama, West Dean, US, Germany, Netherlands, Washington DC, Chicago, Cleveland, Israel, Ottawa, IL, California, Essen, Wuppertal, Geneva, Shizuoka, Edinburgh, Brazil, St. Petersburg, Los Angeles, Brussels, Italy, AL, Milwaukee, San Francisco, Tel Aviv, United States of America, Paris, Stockholm, Buffalo, Philadelphia, MI, USA, Basel, Zürich, Cologne, Barcelona, Fukuoka, Belgium, Sweden, Russia, WI, Venice, Montreal, New Haven, Stuttgart, France, Madrid, NY, Japan, OH, PA, Rio de Janeiro, New York City, Hartford","Cubism:1921-1972,Expressionism:1917-1983,Realism:1918-1980,Post-Impressionism:1918-1982,Surrealism:1924-1983,Abstract Art:1927-1983,Symbolism:1921-1982,Dada:1929-1973,Metaphysical art:1935-1936,Naïve Art (Primitivism):1928-1982,Kitsch:1948-1948,Abstract Expressionism:1950-1981,Op Art:1958-1979,Pointillism:1920-1979,Neo-baroque:1945-1982,Neoclassicism:1925-1982,Impressionism:1910-1981,Japonism:1944-1944,Cloisonnism:1921-1921,Divisionism:1918-1918","{Cubism:41}, {Expressionism:182}, {Realism:78}, {Post-Impressionism:61}, {Surrealism:775}, {Abstract Art:16}, {Symbolism:116}, {Dada:7}, {Metaphysical art:2}, {Naïve Art (Primitivism):7}, {Kitsch:1}, {Abstract Expressionism:78}, {Op Art:12}, {Pointillism:8}, {Neo-baroque:4}, {Neoclassicism:21}, {Impressionism:34}, {Japonism:1}, {Cloisonnism:6}, {Divisionism:1}","{Spain:53},{United States of America:1},{Los Angeles:1},{California:1},{USA:1},{St. Petersburg:33},{US:54},{Paris:8},{France:8},{Madrid:3},{New Haven:1},{Stockholm:1},{Sweden:1},{Ottawa:1},{Canada:2},{Wuppertal:2},{Germany:6},{Edinburgh:2},{UK:7},{Cologne:1},{Moscow:1},{Russia:1},{Barcelona:3},{Washington DC:2},{New York City:5},{NY:6},{AL:1},{Fukuoka:1},{Japan:3},{Milwaukee:1},{WI:1},{Belgium:2},{Brussels:1},{San Francisco:3},{CA:3},{Rotterdam:6},{Netherlands:6},{Buffalo:1},{Stuttgart:2},{West Dean:1},{London:4},{Hartford:2},{Basel:1},{Switzerland:5},{Chicago:1},{IL:1},{Geneva:1},{Essen:1},{Philadelphia:2},{PA:2},{Yokohama:1},{Zürich:1},{Venice:1},{Italy:1},{Hanover:1},{Cleveland:1},{OH:1},{MI:1},{Rio de Janeiro:1},{Brazil:1},{Tel Aviv:1},{Israel:1},{Art:1},{Shizuoka:1},{Montreal:1}",,Painting/Sculpture
Alexander Gardner,,,,,,,,,1860.0,1867.0,"Washington, KS, Gettysburg, United States, America, Pennsylvania",,,"{Gettysburg:1},{Pennsylvania:1},{United States:2},{KS:2},{America:1},{Washington:1}",No,Painting/Sculpture
Robert Henri,American,"Eight,Ashcan School",{New Realism (American Realism):263},"Edward Hopper,","Edward Hopper,","Edward Hopper,George Bellows,Rockwell Kent,","Parsons School of Design (Chase School, New York School of Art), New York City, NY, US,","John French Sloan,George Luks,William James Glackens,",1890.0,1928.0,"US, Chicago, AL, IL, Sarasota",American Realism:1890-1928,{American Realism:261},"{AL:1},{US:3},{Chicago:1},{IL:1},{Sarasota:1}",No,Painting/Sculpture
Maruyama Ōkyo,,,,,,,,,1759.0,1786.0,Japan,,,{Japan:1},No,Painting/Sculpture
Johan Christian Dahl,Norwegian,,{Romanticism:16},,"Knud Baade,",,,"Caspar David Friedrich,",1814.0,1848.0,"Bergen, Denmark, Norway, Oslo",Romanticism:1814-1848,{Romanticism:16},"{Bergen:1},{Norway:8},{Oslo:7},{Denmark:2}",No,Painting/Sculpture
Gustave Le Gray,,,,,,,,,1848.0,1870.0,"Italy, Chalons, Normandy, Palermo, Sicily,, France, Paris, Vienne, Baalbek, Lyon, Le Havre, Lebanon",,,"{Chalons:24},{France:62},{Baalbek:1},{Lebanon:1},{Paris:16},{Palermo, Sicily,:1},{Italy:1},{Vienne:1},{Normandy:3},{Lyon:1},{Le Havre:1}",No,Painting/Sculpture
Thomas Sully,American,,{Romanticism:146},,,,,,1807.0,1872.0,United States,Romanticism:1807-1872,{Romanticism:132},{United States:1},No,Painting/Sculpture
Adolph Menzel,"German,Polish",,{Realism:27},,"Max Klinger,",,,,1845.0,1900.0,"Berlin, Germany, Kunsthalle, Hamburg, Munich","Realism:1845-1889,Impressionism:1846-1856","{Realism:27}, {Impressionism:5}","{Berlin:9},{Germany:10},{Kunsthalle:1},{Hamburg:2},{Munich:2}",No,Painting/Sculpture
August Macke,German,"Der Blaue Reiter (The Blue Rider),Der Sturm","{German Expressionism:1},{Der Blaue Reiter:1},{Modern art:1},{Expressionism:1},{Expressionism,Orphism (Simultanism):127}","Robert Delaunay,","Expressionism,",,,"Franz Marc,Paul Klee,",1903.0,1914.0,"Germany, Bremen, Kunsthalle, Bonn, Stuttgart, Munich, Hamburg, Wuppertal, Switzerland, Zürich, Cologne","Expressionism:1903-1914,Orphism:1912-1914,Fauvism:1909-1914","{Expressionism:75}, {Orphism:33}, {Fauvism:19}","{Bonn:6},{Germany:17},{Wuppertal:1},{Zürich:1},{Switzerland:2},{Cologne:2},{Stuttgart:4},{Munich:4},{Bremen:1},{Kunsthalle:1},{Hamburg:2}",No,Painting/Sculpture
Xu Beihong,Chinese,,{Republic of China (1912–1949):97},,,,,,1917.0,1953.0,,"Post-Impressionism:1931-1948,Realism:1939-1941,Romanticism:1918-1924,Expressionism:1930-1950,Ink and wash painting:1928-1950","{Post-Impressionism:15}, {Realism:11}, {Romanticism:5}, {Expressionism:45}, {Ink and wash painting:61}",,No,Painting/Sculpture
Federico Barocci,,,{Baroque:1},,,,,,1586.0,1858.0,"London, Italy, England",,{Art of the Counter Reform / Altarpiece:1},"{Italy:1},{London:1},{England:1}",No,Painting/Sculpture
Jean-Marc Nattier,,,,,,,,,1727.0,1753.0,"France, Paris",,,"{France:6},{Paris:3}",No,Painting/Sculpture
Théodore Géricault,,,,,,,,,1812.0,1823.0,France,,,{France:9},No,Painting/Sculpture
Robert Delaunay,French,"École de Paris,Der Blaue Reiter (The Blue Rider),Société des Artistes Indépendants (Society of Independent Artists),La Ruche",{Orphism (Simultanism):32},"Paul Gauguin,Henri Rousseau,Georges Seurat,Pablo Picasso,Claude Monet,Pont-Aven School,","Aristarkh Lentulov,Der Blaue Reiter (The Blue Rider),Post-Painterly Abstraction,Abstract Expressionism,Paul Klee,August Macke,Marc Chagall,Wassily Kandinsky,Diego Rivera,",,,"Marc Chagall,Fernand Leger,Jean Metzinger,Roman Selsky,Margit Selska,Józef Pankiewicz,",1904.0,1939.0,"US, Germany, St. Louis, Washington DC, Chicago, Karlsruhe, IL, Munich, Paris, France, NY, Madrid, Spain, MO, Switzerland, Basel, New York City","Orphism:1909-1939,Post-Impressionism:1904-1906","{Orphism:30}, {Post-Impressionism:2}","{Karlsruhe:2},{Germany:3},{Munich:1},{Paris:2},{France:2},{Washington DC:1},{US:8},{New York City:5},{NY:5},{Madrid:1},{Spain:1},{Basel:1},{Switzerland:1},{St. Louis:1},{MO:1},{Chicago:1},{IL:1}",No,Painting/Sculpture
Félicien Rops,,,,,,,,,1875.0,1885.0,,,,,No,Painting/Sculpture
Théodore Rousseau,,,"{Barbizon school:1},{Realism:1},{Romanticism:1}",,,,,,1830.0,1861.0,"France, Barbizon",,,"{France:4},{Barbizon:1}",No,Painting/Sculpture
Li Tang,Chinese,,{Northern Song Dynasty (960–1126):4},,,,,,1124.0,1124.0,"Taiwan, Taipei",Ink and wash painting:1124-1124,{Ink and wash painting:4},"{Taipei:1},{Taiwan:1}",No,Painting/Sculpture
Tom Roberts,Australian,Heidelberg School,{Impressionism:95},,,,,,1883.0,1929.0,"Sydney, Corowa, Melbourne, Adelaide, New Zealand, Canberra, New South Wales, Australia, Wellington",Impressionism:1883-1929,{Impressionism:95},"{Corowa:1},{New South Wales:1},{Melbourne:4},{Australia:9},{Wellington:2},{New Zealand:2},{Sydney:3},{Adelaide:1},{Canberra:1}",No,Painting/Sculpture
Carl Mydans,,,,,,,,,1901.0,1978.0,,,,,No,Painting/Sculpture
David Alfaro Siqueiros,Mexican,Mexican Mural Renaissance,"{Social Realism,Muralism:71}","Pablo Picasso,Georges Braque,Umberto Boccioni,Native Art,Cubism,Futurism,","Jackson Pollock,Muralism,Social Realism,Frida Kahlo,",,,"Morris Louis,Jose Clemente Orozco,Diego Rivera,",1918.0,1971.0,"Los Angeles, NY, New York City, US","Muralism:1922-1971,Expressionism:1918-1965,Surrealism:1937-1947,Social Realism:1918-1962","{Muralism:32}, {Expressionism:20}, {Surrealism:6}, {Art Deco:1}, {Social Realism:12}","{Los Angeles:1},{New York City:6},{NY:6},{US:6}",No,Painting/Sculpture
Pierre Puvis de Chavannes,,,"{Symbolism:1},{Modern art:1}",,,,,,1867.0,1875.0,France,,,{France:2},No,Painting/Sculpture
David Douglas Duncan,,,,,,,,,1950.0,1950.0,,,,,No,Painting/Sculpture
Jan Brueghel the Elder,,,{Mannerism:1},,,,,,1596.0,1614.0,,,{Flemish:1},,No,Painting/Sculpture
Joan Miró,,,,,,,,,1900.0,1983.0,,,,,,Painting/Sculpture
Guo Xi,Chinese,,{Northern Song Dynasty (960–1126):7},,,,,,1072.0,1080.0,"Taiwan, Taipei",Ink and wash painting:1072-1080,{Ink and wash painting:6},"{Taipei:1},{Taiwan:1}",No,Painting/Sculpture
Lucas Cranach the Younger,,,"{German Renaissance:2},{Northern Renaissance:2},{Renaissance:2}",,,,,,1537.0,1564.0,"Wittenberg, Germany",,,"{Wittenberg:1},{Germany:1}",No,Painting/Sculpture
Marià Fortuny,,,,,,,,,1862.0,1873.0,"Italy, Venice, Paris, Granada, Rome",Costumbrism:1873-1873,{Costumbrism:1},"{Rome:5},{Granada:2},{Paris:1},{Venice:1},{Italy:1}",No,Painting/Sculpture
Duchenne de Boulogne,,,,,,,,,1854.0,1862.0,"Paris, France",,,"{Paris:1},{France:1}",No,Painting/Sculpture
Horace Vernet,French,,"{Neoclassicism:1},{Academic art:1},{Romanticism:42}",,"J.M.W. Turner,","Théodore Géricault,",,"Charles Gleyre,",1807.0,1851.0,"Paris, Saint Petersburg, Russia, France","Romanticism:1807-1851,Orientalism:1833-1840","{Romanticism:32}, {Orientalism:9}","{Paris:1},{France:1},{Saint Petersburg:2},{Russia:2}",No,Painting/Sculpture
Akseli Gallen-Kallela,,,,,,,,,,,,,,,,Painting/Sculpture
William Notman,,,,,,,,,1862.0,1896.0,"Québec, Montreal, Canada",,,"{Montreal:2},{Québec:2},{Canada:2}",No,Painting/Sculpture
Larry Burrows,,,,,,,,,1926.0,1971.0,Vietnam,,,{Vietnam:1},No,Painting/Sculpture
Bill Eppridge,,,,,,,,,1963.0,1972.0,,,,,No,Painting/Sculpture
Berenice Abbott,,,,,,,,,1924.0,1954.0,"France, Paris, New York, United States",,,"{New York:6},{United States:3},{France:2},{Paris:1}",No,Painting/Sculpture
Max Liebermann,"Jewish,German",Berlin Secession,"{Modern art:1},{Impressionism:71}",,,,,,1847.0,1935.0,"Berlin, Netherlands, Germany, Winterthur, Rotterdam, Frankfurt, Kunsthalle, Hamburg, Paris, France, Switzerland, Schwerin, Main","Realism:1876-1889,Impressionism:1871-1932","{Realism:6}, {Impressionism:65}","{Berlin:8},{Rotterdam:1},{Netherlands:1},{Kunsthalle:3},{Hamburg:6},{Germany:9},{Schwerin:1},{Winterthur:1},{Switzerland:1},{Paris:1},{France:1},{Frankfurt:1},{Main:1}",No,Painting/Sculpture
Tani Bunchō,,,,,,,,,1797.0,1815.0,,,,,No,Painting/Sculpture
John Flaxman,,,,,,,,,1795.0,1809.0,London,,,{London:14},No,Painting/Sculpture
Pieter Claesz,Dutch,Haarlem School,{Baroque:65},,,,,,1623.0,1660.0,"US, Chicago, Berlin, Germany, Netherlands, Baltimore, Hague, IL, Budapest, NY, MD, Hungary, Amsterdam, New York City",Baroque:1623-1660,"{Northern Netherlands School:1}, {Baroque:39}","{Baltimore:1},{MD:1},{US:3},{Budapest:1},{Hungary:1},{Chicago:1},{IL:1},{Berlin:1},{Germany:1},{Amsterdam:2},{Netherlands:3},{New York City:1},{NY:1},{Hague:1}",No,Painting/Sculpture
Henri-Edmond Cross,,,,,,,,,1891.0,1909.0,,Neo-Impressionist:1891-1892,"{Graphic arts:1}, {Neo-Impressionist:1}",,No,Painting/Sculpture
Vilhelm Hammershøi,,,,,,,,,,,Denmark,,,{Denmark:2},,Painting/Sculpture
Peter Henry Emerson,,,,,,,,,1886.0,1895.0,"London, East Anglia, Suffolk, England, Great Britain",,,"{Great Britain:12},{England:56},{London:49},{East Anglia:1},{Suffolk:1}",No,Painting/Sculpture
Eugène Isabey,,,,,,,,,1830.0,1861.0,France,,,{France:2},No,Painting/Sculpture
Eastman Johnson,American,Düsseldorf School of Painting,{Realism:152},,,,,,1853.0,1895.0,"US, Washington DC, New York City, NY, Madrid, Spain, United States",Realism:1853-1895,{Realism:146},"{New York City:3},{NY:3},{United States:2},{Washington DC:1},{US:3},{Madrid:1},{Spain:1}",No,Painting/Sculpture
Paul Sandby,,,"{Rococo:5},{Romanticism:3}",,,,,,1768.0,1809.0,"London, Scotland",,,"{London:61},{Scotland:59}",No,Painting/Sculpture
Maxime Du Camp,,,,,,,,,1849.0,1853.0,"Philae, Ibsamboul, Cairo, Luxor, Israel, Palestine, Lille, Giza, France, Egypt, Kalabscheh, Jerusalem, Thebes",,,"{France:9},{Ibsamboul:3},{Egypt:13},{Jerusalem:3},{Palestine:3},{Israel:3},{Thebes:3},{Kalabscheh:1},{Lille:1},{Luxor:1},{Giza:1},{Cairo:1},{Philae:1}",No,Painting/Sculpture
Eliot Porter,,,,,,,,,,,"New Mexico, Utah, Maine",,,"{New Mexico:4},{Maine:1},{Utah:3}",,Painting/Sculpture
Jan van de Velde,,,,,,,,,1614.0,1639.0,"Rotterdam, Utrecht, Northern Netherlands, Amsterdam",,,"{Utrecht:1},{Northern Netherlands:36},{Amsterdam:4},{Rotterdam:3}",No,Painting/Sculpture
Marcel Breuer,,,,,,,,,1928.0,1936.0,Hungary,,,{Hungary:1},No,Painting/Sculpture
Charles-Nicolas Cochin,,,,,,,,,1745.0,1755.0,,,,,No,Painting/Sculpture
David Octavius Hill,,,,,,,,,1843.0,1844.0,"Great Britain, United Kingdom, Scotland",,,"{Great Britain:1},{Scotland:1},{United Kingdom:1}",No,Painting/Sculpture
Heinrich Aldegrever,,,"{German Renaissance:91},{Northern Renaissance:91},{Renaissance:91}",,,,,,1540.0,1555.0,Germany,,,{Germany:65},No,Painting/Sculpture
George Frederic Watts,,,"{Realism:1},{Academic art:1},{Symbolism:2}",,,,,,1866.0,1878.0,,,,,No,Painting/Sculpture
Valentin Serov,Russian,Peredvizhniki (Society for Traveling Art Exhibitions),"{Modern art:2},{Impressionism:1},{Realism,Impressionism:218}",,"Fedir Krychevsky,Robert Falk,","Mikhail Larionov,","Ilya Repin,Imperial Academy of Arts, Saint Petersburg, Russia,","Mikhail Vrubel,",1880.0,1911.0,"Yerevan, Russia, Moscow, Saint Petersburg, Dnipro, Ukraine, Erevan, Armenia, Minsk, Taganrog, Belarus","Impressionism:1886-1911,Realism:1880-1911,Art Nouveau (Modern):1905-1910","{Impressionism:91}, {Realism:115}, {Art Nouveau (Modern):15}","{Moscow:60},{Russia:66},{Saint Petersburg:3},{Erevan:2},{Armenia:5},{Dnipro:1},{Ukraine:1},{Yerevan:3},{Minsk:2},{Belarus:2},{Taganrog:1}",No,Painting/Sculpture
Georges de La Tour,,,,,,,,,1646.0,1646.0,France,,,{France:2},No,Painting/Sculpture
Wilhelm Lehmbruck,,,"{Naturalism:1},{Modern art:1}",,,,,,1913.0,1918.0,,,,,No,Painting/Sculpture
Nicolas de Largillière,,,,,,,,,1686.0,1800.0,"France, Paris",,,"{France:3},{Paris:1}",No,Painting/Sculpture
Simon Bening,,,"{Dutch and Flemish Renaissance painting:22},{Northern Renaissance:22},{Renaissance:22}",,,,,,1525.0,1550.0,"Belgium, Bruges",,,"{Bruges:114},{Belgium:114}",No,Painting/Sculpture
Andrea del Sarto,,,"{Italian Renaissance:5},{High Renaissance:2},{Renaissance:5},{Mannerism:1}",,,,,,1514.0,1528.0,Italy,,"{Mannerism/ Altarpiece:1}, {Renaissance/ Portrait:1}",{Italy:6},No,Painting/Sculpture
Anish Kapoor,"British,Indian",New British Sculpture,{Post-Minimalism:13},"Damien Hirst,",,,,,1981.0,2009.0,,"Post-Minimalism:1992-2009,Neo-Expressionism:1981-2009","{Post-Minimalism:7}, {Neo-Expressionism:7}",,Yes,Painting/Sculpture
Georg Baselitz,German,Neue Wilde,{Neo-Expressionism:34},,,,,"Joseph Beuys,Gerhard Richter,",1963.0,2015.0,,Neo-Expressionism:1963-2015,{Neo-Expressionism:34},,Yes,Painting/Sculpture
